,Yds/Att,PassYds,TD,INT,1st%,playoffs,Conference,Region
49ers23,8.6,4437,26,14,38.9,Y,AFC,West
Bears23,6.7,3635,16,20,33.2,Y,NFC,North
Bengals23,8.7,4806,36,14,37.5,N,AFC,North
Bills23,6.8,4450,36,16,36,N,NFC,East
Broncos23,7.1,3856,20,9,33.1,N,AFC,West
Browns23,7,3619,21,14,34,N,AFC,North
Buccaneers23,7.4,5383,43,12,37.4,Y,NFC,South
Cardinals23,7.8,4619,27,11,36.2,Y,NFC,West
Chargers23,7.4,5014,38,15,38,N,AFC,West
Chiefs23,7.3,4937,37,13,39.6,N,AFC,West
Colts23,6.9,3588,27,8,32,N,AFC,South
Commanders23,6.8,3746,21,15,32.9,Y,NFC,East
Cowboys23,7.7,4963,40,11,38.3,Y,NFC,East
Dolphins23,6.4,3936,21,14,33.5,N,AFC,East
Eagles23,7.3,3585,20,10,33.8,Y,NFC,East
Falcons23,7,3987,20,15,34.2,Y,NFC,South
Giants23,5.8,3463,15,20,28.8,Y,NFC,East
Jaguars23,6.1,3674,12,17,29.5,N,AFC,South
Jets23,6.6,3959,20,20,32.3,N,AFC,East
Lions23,6.6,3884,23,14,32.6,Y,NFC,North
Packers23,7.6,4526,39,7,39.6,Y,NFC,North
Panthers23,6,3573,14,21,29,N,NFC,South
Patriots23,7.7,4098,24,13,35,N,AFC,East
Raiders23,7.7,4808,23,14,34.6,N,AFC,West
Rams23,8.1,4893,41,18,38.4,Y,NFC,West
Ravens23,7,4267,21,18,34.2,N,AFC,North
Saints23,6.8,3437,29,13,32.7,Y,NFC,South
Seahawks23,7.7,3815,30,7,33.5,Y,NFC,West
Steelers23,6,4017,23,11,30.7,N,AFC,North
Texans23,6.6,3630,21,15,29.7,N,AFC,South
Titans23,7,3745,22,14,36.3,N,AFC,South
Vikings23,7.4,4450,34,7,33.4,Y,NFC,North
49ers21,8.6,4437,26,14,38.9,Y,AFC,West
Bears21,6.7,3421,19,15,32.9,Y,NFC,North
Bengals21,6.9,4257,27,14,33.8,Y,AFC,North
Bills21,7.4,4306,29,18,34.4,Y,NFC,East
Broncos21,7,3566,28,9,30,N,AFC,West
Browns21,6.4,4011,24,23,27.7,N,AFC,North
Buccaneers21,7.1,4044,28,10,33.1,Y,NFC,South
Cardinals21,6.2,3430,18,12,31.2,Y,NFC,West
Chargers21,6.8,4312,24,8,32.3,N,AFC,West
Chiefs21,6.9,4383,28,17,34,Y,AFC,West
Colts21,6.8,3882,18,10,31,N,AFC,South
Commanders21,6.6,4174,24,21,29.9,N,NFC,East
Cowboys21,7.6,4660,36,10,37.3,Y,AFC,East
Dolphins21,8.3,4698,30,15,39.4,N,NFC,East
Eagles21,7.2,4067,24,16,35,Y,NFC,East
Falcons21,7.1,3775,17,17,34.2,N,NFC,South
Giants21,6.5,3351,15,12,27.2,Y,NFC,East
Jaguars21,7.1,4377,22,14,32.1,N,AFC,South
Jets21,5.6,3373,11,15,26,N,AFC,East
Lions21,7.6,4606,30,12,37.6,Y,NFC,North
Packers21,7.2,4210,32,11,36.3,N,NFC,North
Panthers21,5.5,3245,13,10,25.6,Y,NFC,South
Patriots21,6.1,3392,16,21,27.5,Y,AFC,East
Raiders21,6.6,3666,20,18,32.7,Y,AFC,West
Rams21,7.4,4300,26,13,35.3,Y,NFC,West
Ravens21,7.9,3881,27,7,36.4,N,AFC,North
Saints21,7,4225,28,11,32.8,Y,NFC,South
Seahawks21,7.2,4167,23,12,32.9,Y,NFC,West
Steelers21,6.8,3421,13,9,30.2,Y,AFC,North
Texans21,7.7,4578,27,8,36.3,N,AFC,South
Titans21,7.1,3512,14,11,32,Y,AFC,South
Vikings21,7.4,4700,30,19,34.9,Y,NFC,North
